time,left_s0,left_s1,left_e0,left_e1,left_w0,left_w1,left_w2,left_gripper,right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2,right_gripper
0.294000,0.192505083474,1.04700003288,-0.0165326831987,0.494438137735,-0.185931407088,0.0267979786572,-0.013982144329,100.000106812,-0.867097878087,-0.403260336602,1.07197548675,2.17570712232,-0.845594587708,-0.423409394543,-0.611459312044,100.000343323
0.294000,0.192505083474,1.04700003288,-0.0165326831987,0.494438137735,-0.185931407088,0.0267979786572,-0.013982144329,100.000106812,-0.867097878087,-0.403260336602,1.07197548675,2.17570712232,-0.845594587708,-0.423409394543,-0.611459312044,100.000343323
0.304000,0.192505084476,1.04700003284,-0.0165326905456,0.494438136503,-0.185931403859,0.0267979798304,-0.0139821396322,100.000030518,-0.86709787668,-0.403260339321,1.07197547548,2.17570711652,-0.845594625284,-0.423409428083,-0.611459260147,100.000030518
0.314000,0.192505084476,1.04700003284,-0.0165326905456,0.494438136503,-0.185931403859,0.0267979798304,-0.0139821396322,100.000030518,-0.86709787668,-0.403260339321,1.07197547548,2.17570711652,-0.845594625284,-0.423409428083,-0.611459260147,100.000030518
0.324000,0.192505083799,1.04700003269,-0.0165326863496,0.494438137692,-0.185931406589,0.0267979785557,-0.0139821412985,100.000030518,-0.867097876418,-0.403260339821,1.07197547987,2.17570712239,-0.845594630613,-0.42340940716,-0.611459262747,100.000030518
0.334000,0.192505083799,1.04700003269,-0.0165326863496,0.494438137692,-0.185931406589,0.0267979785557,-0.0139821412985,100.000030518,-0.867097876418,-0.403260339821,1.07197547987,2.17570712239,-0.845594630613,-0.42340940716,-0.611459262747,100.000030518
0.344000,0.192505083703,1.04700003282,-0.0165326839503,0.494438137595,-0.185931406967,0.0267979791065,-0.0139821439976,100.00050354,-0.867097877657,-0.403260337055,1.07197548702,2.17570712338,-0.845594579587,-0.423409394212,-0.611459321312,100.001655579
0.354000,0.192505083703,1.04700003282,-0.0165326839503,0.494438137595,-0.185931406967,0.0267979791065,-0.0139821439976,100.00050354,-0.867097877657,-0.403260337055,1.07197548702,2.17570712338,-0.845594579587,-0.423409394212,-0.611459321312,100.001655579
0.364000,0.192505084228,1.04700003288,-0.0165326872992,0.494438137049,-0.185931405275,0.0267979792062,-0.013982141709,100.00050354,-0.867097876948,-0.403260338457,1.07197547779,2.17570711617,-0.845594648414,-0.423409415098,-0.611459237894,100.001655579
0.374000,0.192505084228,1.04700003288,-0.0165326872992,0.494438137049,-0.185931405275,0.0267979792062,-0.013982141709,100.00050354,-0.867097876948,-0.403260338457,1.07197547779,2.17570711617,-0.845594648414,-0.423409415098,-0.611459237894,100.001655579
0.384000,0.192505083555,1.04700003288,-0.0165326838515,0.494438137534,-0.18593140717,0.0267979789848,-0.0139821440175,100.000160217,-0.867097875981,-0.403260339748,1.07197547914,2.17570712305,-0.845594624021,-0.423409411349,-0.611459269835,100.000137329
0.394000,0.192505083555,1.04700003288,-0.0165326838515,0.494438137534,-0.18593140717,0.0267979789848,-0.0139821440175,100.000160217,-0.867097875981,-0.403260339748,1.07197547914,2.17570712305,-0.845594624021,-0.423409411349,-0.611459269835,100.000137329
0.404000,0.192505083499,1.04700003295,-0.0165326830872,0.494438137381,-0.185931406892,0.0267979794355,-0.0139821449123,100.000160217,-0.867097877463,-0.403260337822,1.071975486,2.17570712349,-0.845594587225,-0.423409395366,-0.611459312607,100.000137329
0.414000,0.192505083499,1.04700003295,-0.0165326830872,0.494438137381,-0.185931406892,0.0267979794355,-0.0139821449123,100.000160217,-0.867097877463,-0.403260337822,1.071975486,2.17570712349,-0.845594587225,-0.423409395366,-0.611459312607,100.000137329
0.424000,0.19250508417,1.04700003294,-0.0165326868139,0.494438137068,-0.185931405652,0.0267979790464,-0.013982141602,100.000053406,-0.867097877517,-0.403260337589,1.07197548069,2.17570711715,-0.845594644973,-0.423409405499,-0.61145924446,100.000007629
0.434000,0.19250508417,1.04700003294,-0.0165326868139,0.494438137068,-0.185931405652,0.0267979790464,-0.013982141602,100.000053406,-0.867097877517,-0.403260337589,1.07197548069,2.17570711715,-0.845594644973,-0.423409405499,-0.61145924446,100.000007629
0.444000,0.192505084075,1.04700003286,-0.0165326876096,0.494438136866,-0.185931405539,0.0267979797208,-0.0139821412084,100.000053406,-0.867097875963,-0.403260339483,1.07197547892,2.17570712397,-0.845594612343,-0.423409414994,-0.611459282691,100.000007629
0.454000,0.192505084075,1.04700003286,-0.0165326876096,0.494438136866,-0.185931405539,0.0267979797208,-0.0139821412084,100.000053406,-0.867097875963,-0.403260339483,1.07197547892,2.17570712397,-0.845594612343,-0.423409414994,-0.611459282691,100.000007629
0.464000,0.192505083784,1.04700003275,-0.0165326855414,0.494438137644,-0.185931406298,0.0267979786755,-0.0139821425558,100.000015259,-0.867097877207,-0.403260338673,1.07197548415,2.17570712296,-0.84559460436,-0.423409397722,-0.61145929305,100.000679016
0.474000,0.192505083784,1.04700003275,-0.0165326855414,0.494438137644,-0.185931406298,0.0267979786755,-0.0139821425558,100.000015259,-0.867097877207,-0.403260338673,1.07197548415,2.17570712296,-0.84559460436,-0.423409397722,-0.61145929305,100.000679016
0.484000,0.192505083932,1.04700003279,-0.0165326876091,0.494438137074,-0.185931405739,0.0267979793957,-0.0139821412012,100.000015259,-0.867097877987,-0.403260336877,1.07197548371,2.17570711918,-0.845594623075,-0.423409399053,-0.61145927092,100.000679016
