time,left_s0,left_s1,left_e0,left_e1,left_w0,left_w1,left_w2,right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2
0.699624,-0.00576393314075,-0.998271419903,-1.14054784173,1.94425183685,0.673168961502,1.03687354565,-0.498677534507,0.529603916065,-0.577193606696,-0.0356983705092,0.918018637597,0.0308136314464,1.24549408665,-0.30998830596
0.709613,-0.00691714584813,-0.998101398233,-1.14062498234,1.94421655473,0.673632519498,1.03664713339,-0.499322187,0.52847817468,-0.577023305845,-0.0357761253189,0.917983187968,0.0312743790289,1.24526495704,-0.31060215558
0.719602,-0.00773615124582,-0.998301995419,-1.14076066368,1.94419542748,0.674150986547,1.03652981098,-0.49931833159,0.52770437474,-0.577223443627,-0.0359128173451,0.917961785072,0.0317882214004,1.24514316308,-0.310547612479
0.729591,-0.00866922847686,-0.998326705657,-1.14044657946,1.94438447127,0.674876219627,1.036590981,-0.499680965286,0.526834066632,-0.577247515967,-0.0356001365041,0.918150446126,0.0325070329784,1.24519812423,-0.310839864807
0.739580,-0.00961381418815,-0.997863785131,-1.14007111886,1.94441321829,0.675340184659,1.03661577036,-0.500666146708,0.525969643977,-0.576783780775,-0.0352264681681,0.918178704341,0.0329627970476,1.24521498418,-0.311735161502
0.749570,-0.0104269613419,-0.997761620724,-1.14008317221,1.94430172344,0.675895127069,1.03656377651,-0.501298565982,0.525253884823,-0.576680626653,-0.0352406988928,0.91806661566,0.033507776322,1.2451533571,-0.312258382171
0.759559,-0.0110561008334,-0.997790591786,-1.14030339952,1.94425235153,0.676713590561,1.03644180637,-0.501826260854,0.524739190038,-0.576708434659,-0.0354634849211,0.918016545919,0.0343145317174,1.24502006656,-0.312657753203
0.769548,-0.0118523891768,-0.997696160723,-1.1400835356,1.94441041047,0.677281648575,1.03640539054,-0.502488616364,0.524074235625,-0.576612668902,-0.0352465573329,0.918173804046,0.0348691538071,1.2449706597,-0.313172847429
0.779537,-0.0128015513345,-0.997575942555,-1.13943592426,1.9447232406,0.67765546911,1.03662920678,-0.503135568041,0.523273129901,-0.576490946095,-0.0346022561947,0.918485731392,0.0352278276474,1.24517983079,-0.313653787319
0.789526,-0.0134709395046,-0.997418148381,-1.13893805319,1.94484214344,0.678238716184,1.03697465742,-0.503590857579,0.522768354715,-0.576331479025,-0.0341080654997,0.918603630491,0.0357942342335,1.24550899857,-0.313924500645
0.799515,-0.0140010900961,-0.997218574737,-1.13868462138,1.9444925133,0.678584830117,1.0372648829,-0.503799930462,0.522419208478,-0.576130065906,-0.0338586805319,0.918252896665,0.0361218307836,1.24578131982,-0.313930618103
0.809504,-0.0149074783011,-0.997179696256,-1.13867453907,1.94416251171,0.678709548489,1.03781128984,-0.504417338321,0.521710051595,-0.576089183041,-0.0338530078639,0.917921692443,0.0362263716959,1.24630821744,-0.314326875666
0.819493,-0.0160009538402,-0.997295692545,-1.13904738379,1.94415181576,0.679171644832,1.03762463187,-0.505731783263,0.520829870723,-0.576203011702,-0.0342306213623,0.917909695924,0.0366666472433,1.24610046121,-0.315402158904
0.829482,-0.0165558989259,-0.997046334561,-1.13931828316,1.94419692796,0.679969619144,1.03701645564,-0.506438675967,0.52050445436,-0.575951321109,-0.034506652476,0.917953408551,0.0374411399582,1.24546958092,-0.315851687085
0.839472,-0.0168403823964,-0.996910262104,-1.13932347916,1.94424280285,0.680394278511,1.03707202986,-0.506256830729,0.520466343542,-0.575812744865,-0.0345173568082,0.917997781176,0.0378405945345,1.24550078495,-0.315393590669
0.849461,-0.0177416843589,-0.996804181154,-1.13907168183,1.94439764909,0.681064682496,1.0378476757,-0.506546864396,0.519826958696,-0.575704002156,-0.0342714153496,0.918151030355,0.0384842034757,1.246250523,-0.315389943557
0.859450,-0.0185742249425,-0.996604843132,-1.13880576432,1.94472880306,0.681363215196,1.03855085252,-0.50758189308,0.519271719523,-0.575501846029,-0.0340116976693,0.918480493464,0.0387543672652,1.24692627028,-0.31611404146
0.869439,-0.0195168181701,-0.996590304287,-1.13842066508,1.94503097411,0.681935854388,1.03830215136,-0.508611663817,0.518621652633,-0.575484334356,-0.0336331386464,0.918780880821,0.0392970799817,1.24664863358,-0.316815810104
0.879428,-0.0205795902298,-0.996687464226,-1.13820531313,1.94517773244,0.682899383355,1.03757672211,-0.509198392074,0.517866473284,-0.575578368353,-0.0334246637682,0.918925763587,0.0402291411316,1.2458927785,-0.31705764274
0.889417,-0.021688445943,-0.996472268914,-1.13831229366,1.94523381097,0.683530898936,1.03743849493,-0.509724624096,0.51708011891,-0.575359895588,-0.0335388547012,0.918979875646,0.0408276636892,1.24572265078,-0.317222262488
0.899406,-0.0226071441201,-0.996226776516,-1.13843674746,1.94521772943,0.683760913566,1.03807310472,-0.510378298062,0.516498673774,-0.575110975822,-0.0336708487134,0.918961737681,0.0410231761443,1.24632390084,-0.317497783485
0.909395,-0.0232976388151,-0.996170534388,-1.13837700069,1.94515184448,0.683941842873,1.03884565718,-0.510881134617,0.516160027715,-0.575051157997,-0.0336189684701,0.918893707314,0.0411681100961,1.24706164985,-0.317606101413
0.919384,-0.0240375202863,-0.995999662184,-1.13828035873,1.9451123626,0.684155485366,1.0392131465,-0.5112569509,0.515786435189,-0.574876563344,-0.0335305159051,0.918851991961,0.0413442799395,1.24739290734,-0.317571207531
0.929374,-0.0249621925783,-0.995890275533,-1.13818413748,1.94503903348,0.684601304421,1.0391384454,-0.511964706922,0.515242337693,-0.574763309063,-0.0334428034415,0.918776342264,0.0417511648529,1.24728056131,-0.317852235038
