time,right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2
0.756453,-0.905561200587,0.236609759486,0.950251539965,1.65239466319,-2.22283448451,-0.627078502658,-3.05947824921
0.766434,-0.905138044625,0.237237490557,0.950961680434,1.6539022639,-2.22234722522,-0.627137308669,-3.05867925623
0.776416,-0.904577234296,0.237631282032,0.95183805639,1.6553996341,-2.22189351926,-0.626907415226,-3.05799393487
0.786397,-0.90400293474,0.238041454454,0.952644327289,1.65651871589,-2.22156040828,-0.626429448044,-3.05752328394
0.796379,-0.903524423217,0.238654911041,0.953338376068,1.65733695194,-2.22119273982,-0.62604127473,-3.05708823199
0.806360,-0.90311082538,0.239292814594,0.953988673621,1.65799027782,-2.22064847134,-0.625976440097,-3.05649868304
0.816342,-0.902666185672,0.239652105985,0.954644071008,1.6585654763,-2.21997570835,-0.626180732609,-3.05572965579
0.826323,-0.902330819839,0.240163097209,0.955142173651,1.65929980543,-2.21952164819,-0.626351658975,-3.05500935401
0.836305,-0.901976709216,0.240969889891,0.955607390565,1.66032584145,-2.21899359204,-0.626390558315,-3.0545476941
0.846286,-0.901662555581,0.241769665241,0.956298281892,1.66121141641,-2.21825003902,-0.626218239136,-3.05417676398
0.856268,-0.901259427907,0.242336809239,0.957042232981,1.66209288761,-2.21757968241,-0.62608412095,-3.05385388522
0.866249,-0.900764174562,0.242655099783,0.957736652307,1.66301376434,-2.21722429476,-0.626157137059,-3.05351457948
0.876231,-0.90030681875,0.242912897269,0.958374745884,1.66387448527,-2.21714602154,-0.62631078445,-3.05312349927
0.886212,-0.899980233333,0.243379222221,0.958977998931,1.66454570716,-2.21707671896,-0.626244572668,-3.05268349507
0.896193,-0.899416141661,0.244131748018,0.959403963914,1.66519633728,-2.21692130423,-0.626041567944,-3.05218841722
0.906175,-0.898686867315,0.244724874468,0.959827603127,1.66578490433,-2.2165345146,-0.626107954267,-3.05155365439
0.916156,-0.898324626096,0.24525238729,0.96026687473,1.66630442116,-2.21606375111,-0.626211069164,-3.05091547285
0.926138,-0.898259409793,0.245596711194,0.960765628915,1.66681917359,-2.21568983333,-0.626178496068,-3.05042896753
0.936119,-0.898321645198,0.245749591243,0.961316489913,1.6674417235,-2.21527388593,-0.626058936854,-3.05011907813
0.946101,-0.898249997376,0.245904888902,0.961870610257,1.66815311254,-2.21476682049,-0.625928606121,-3.04989867041
0.956082,-0.897848969037,0.24631743791,0.962362802013,1.66879642006,-2.21435745892,-0.625794885706,-3.04963156172
0.966064,-0.897421969329,0.24679677411,0.962752509537,1.66933109208,-2.21422037654,-0.625658460109,-3.04925100505
0.976045,-0.897289700026,0.247217297046,0.96320258207,1.67000877067,-2.21411294934,-0.62560922081,-3.04878556168
0.986027,-0.897189796504,0.247617176808,0.963579739526,1.67047484399,-2.2139878281,-0.625499539196,-3.04849768015
0.996008,-0.89707996899,0.247992391812,0.96383055866,1.67082875319,-2.2137427116,-0.625378444218,-3.0483803049
1.005990,-0.896875173162,0.248297698198,0.96397195903,1.67119063401,-2.21344363171,-0.625290321006,-3.0482427308
1.015971,-0.896559152578,0.248445993977,0.964066153008,1.67164350662,-2.21315250031,-0.625262773367,-3.04797807853
1.025953,-0.896196599949,0.248412517961,0.964208061951,1.67219900972,-2.21285241662,-0.625288475935,-3.0476606369
1.035934,-0.895741083078,0.248569872384,0.964557877568,1.67276852743,-2.21257631488,-0.62527221831,-3.0473372507
1.045915,-0.895509060412,0.248906936423,0.96496239776,1.67295002751,-2.21257235562,-0.625155521361,-3.04695364672
1.055897,-0.895436471518,0.249356829483,0.965450690189,1.6731217475,-2.21270011744,-0.62511173322,-3.04663035621
1.065878,-0.895231699352,0.249730770665,0.965855522348,1.67355798689,-2.21271617396,-0.625069648621,-3.04655306788
1.075860,-0.894918640114,0.249932290283,0.966086300601,1.67413871771,-2.21259163173,-0.625133291317,-3.04672386071
1.085841,-0.894676594949,0.249970299268,0.966151977691,1.67461420438,-2.21234053257,-0.625358469916,-3.04684071919
1.095823,-0.89463696443,0.249932047911,0.966131349929,1.67484220169,-2.21196289426,-0.625620950444,-3.04647108973
1.105804,-0.894665879263,0.249916671649,0.966071938868,1.67489682336,-2.21173149291,-0.625716775367,-3.04583840568
1.115786,-0.894475138402,0.250393781003,0.966222260056,1.67489012591,-2.21170790867,-0.625645908644,-3.04559704232
1.125767,-0.894382125725,0.251009891856,0.966552818997,1.67499594559,-2.21158274346,-0.625432936083,-3.04557991458
1.135749,-0.894374313201,0.251344228499,0.966960542908,1.67520874365,-2.21130256892,-0.625211106092,-3.04563434225
1.145730,-0.894405531487,0.251388973634,0.967247336069,1.67557866321,-2.2110495856,-0.625080238661,-3.04557911513
1.155712,-0.894434288038,0.251318959861,0.967328144505,1.67604755878,-2.2109458538,-0.625004253659,-3.04542266201
1.165693,-0.89440387637,0.251267397738,0.967340273446,1.67638124769,-2.21091318809,-0.624836634076,-3.04539377074
1.175674,-0.894074357054,0.251290204618,0.967518953582,1.67636368705,-2.21098262697,-0.624650511966,-3.04548923907
1.185656,-0.893947694335,0.251315355984,0.967717994424,1.67640981514,-2.21106480057,-0.62466822292,-3.04531851846
1.195637,-0.893896543891,0.251329411817,0.967861616217,1.6765752067,-2.21098704655,-0.624723728217,-3.04489438068
1.205619,-0.893796617443,0.251467640921,0.967973610748,1.67673369313,-2.21084732195,-0.624789913423,-3.04457614873
1.215600,-0.893708716472,0.251671439503,0.968101162642,1.67686283959,-2.2107573485,-0.624920393481,-3.04441088285
