time,right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2
0.463730,-1.29322857733,0.159031811782,0.966293827753,1.95207009376,-2.26687306109,-0.392003323548,-3.01387178068
0.473713,-1.29266487273,0.159767379215,0.966849707866,1.95314335126,-2.26598002704,-0.392057311733,-3.0139312284
0.483697,-1.29188905175,0.160788773572,0.967432816274,1.95439046637,-2.26499032124,-0.391877664616,-3.01392414959
0.493680,-1.29066930436,0.161641384706,0.968134440124,1.95563845477,-2.26423520193,-0.391766173269,-3.01377894276
0.503663,-1.28959570724,0.162294355458,0.968805472955,1.95670645322,-2.26375608613,-0.391753661582,-3.01358540524
0.513647,-1.28869848739,0.163074830344,0.969199379799,1.95762495768,-2.26329868721,-0.391535882764,-3.01333041776
0.523630,-1.28766937088,0.163918650228,0.969500665594,1.95849992936,-2.26270653808,-0.391387625501,-3.01311195535
0.533613,-1.28683522672,0.164769280913,0.969927174608,1.95946208038,-2.26211023197,-0.391631062081,-3.01299917301
0.543596,-1.28658302457,0.165637959309,0.970392929071,1.96042807498,-2.26152436673,-0.392071553369,-3.01299702152
0.553580,-1.28659781849,0.166404069557,0.970808793037,1.96117509601,-2.26084906512,-0.392250738017,-3.0129956919
0.563563,-1.28629515921,0.166985835274,0.971294064021,1.961769299,-2.26029034147,-0.39206830138,-3.01277460614
0.573546,-1.28535485659,0.167568712529,0.971656233264,1.9625454996,-2.25996987031,-0.391893998017,-3.0124186059
0.583530,-1.28391406645,0.168501410982,0.971877358238,1.96374097901,-2.25965926991,-0.391885244674,-3.01220967328
0.593513,-1.2829684997,0.169424505853,0.972174483696,1.96473183441,-2.25902297198,-0.392109642301,-3.01193019982
0.603496,-1.28273440055,0.169800057214,0.972745269104,1.96530101919,-2.25826194302,-0.392388112634,-3.01167312746
0.613480,-1.28250880227,0.170116893286,0.973361203491,1.96604336996,-2.25765653793,-0.392234028388,-3.01169308988
0.623463,-1.2821776417,0.170424023832,0.973522278596,1.96693372572,-2.25721347059,-0.392344820484,-3.01207397589
0.633446,-1.2816658016,0.170902828933,0.973510341568,1.96757621287,-2.25692610394,-0.392623910076,-3.01238758357
0.643429,-1.28084739064,0.171600588982,0.973778999338,1.96783654915,-2.25667272001,-0.392629147574,-3.01228324892
0.653413,-1.28008461069,0.17225283713,0.974307144736,1.96805635245,-2.25631727164,-0.392486557089,-3.01199524176
0.663396,-1.27968979558,0.172668863035,0.974830552406,1.9685796121,-2.25579288213,-0.392486595075,-3.01178567273
0.673379,-1.27938867787,0.173007084006,0.975232594271,1.96938895325,-2.25522175944,-0.392631774651,-3.01161588432
0.683363,-1.27883146462,0.173499703387,0.975576229367,1.97026923278,-2.25482648225,-0.392854631733,-3.01142894889
0.693346,-1.27830371652,0.174033843042,0.97591214206,1.97108487517,-2.25458091968,-0.393134069848,-3.01125695495
0.703329,-1.2779776025,0.174368121969,0.976077568362,1.97166322163,-2.25430297009,-0.393067811234,-3.01103391498
0.713313,-1.27775200437,0.175016458878,0.976039575715,1.97193375573,-2.25408359507,-0.39263021309,-3.01080586039
0.723296,-1.27728187865,0.175677659743,0.976063517061,1.97203199962,-2.25402588809,-0.392472558086,-3.01063502693
0.733279,-1.27688886388,0.176079313768,0.976148901243,1.97247032166,-2.25381596505,-0.392743829631,-3.01034795347
0.743263,-1.27680986622,0.176395584004,0.976426103063,1.97309057346,-2.25355139356,-0.393112637557,-3.01023961412
0.753246,-1.27661214441,0.176555038013,0.976937648139,1.97356010472,-2.25327193653,-0.393140579336,-3.01029898639
0.763229,-1.27630724697,0.176610679413,0.977294681567,1.97387177153,-2.25297147428,-0.393004791666,-3.0104088983
0.773212,-1.27600233522,0.176691372566,0.977268563731,1.9742062173,-2.25275982026,-0.392866044045,-3.01047850007
0.783196,-1.27575419918,0.176862468622,0.977155117809,1.9746477822,-2.25255755888,-0.392820788779,-3.0104074106
0.793179,-1.27557541198,0.177074113392,0.977391117241,1.97513238599,-2.25224119015,-0.392911090684,-3.01021903691
0.803162,-1.27530858584,0.177324753752,0.977927991261,1.97547007157,-2.25196273661,-0.393045147051,-3.01006681677
0.813146,-1.27474084201,0.177707922542,0.978220021087,1.97541158841,-2.2519360442,-0.393041639558,-3.01001450991
0.823129,-1.27419794064,0.178061729178,0.97801582351,1.97504371534,-2.25192666412,-0.392834370142,-3.01003610799
0.833112,-1.27400799327,0.178259228138,0.977854756467,1.9752203398,-2.25164512979,-0.392780863123,-3.01019243786
0.843096,-1.27372954345,0.178411279252,0.977957118345,1.97617388644,-2.25139080888,-0.39304363097,-3.01035324824
0.853079,-1.27334608998,0.178681124923,0.978198585421,1.97668940343,-2.25131826813,-0.393174623963,-3.01022936316
0.863062,-1.27333052827,0.178960293402,0.978580383534,1.97695766873,-2.25117554387,-0.393204350316,-3.01008928208
0.873045,-1.27360004824,0.179260937601,0.978700182823,1.97714705406,-2.25094525326,-0.393392701607,-3.01011035227
0.883029,-1.27369743649,0.179520799381,0.978701291212,1.97722284062,-2.2508000987,-0.39353565349,-3.01012380033
0.893012,-1.27339834788,0.179549856129,0.978791919333,1.97729609159,-2.25072859414,-0.393393565012,-3.01010329714
0.902995,-1.27274999489,0.179450960765,0.97886299527,1.97746948861,-2.25056168639,-0.393098662376,-3.01007655439
0.912979,-1.27217228755,0.179369736849,0.978924067321,1.97769248288,-2.25027376179,-0.392841818171,-3.0100123146
0.922962,-1.27211423837,0.179436500437,0.979122588343,1.97789596057,-2.25007677609,-0.392697988888,-3.00984079646
