time,right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2
0.651770,-1.00739023807,-0.0272783731236,1.19384310758,1.24961685323,-0.761876713587,0.829866459515,-2.99108661116
0.661759,-1.00635256692,-0.0274819103698,1.19521259829,1.25034586436,-0.761463250574,0.829425369929,-2.99034559567
0.671749,-1.00555645217,-0.0279296876125,1.19647378976,1.25103824041,-0.761140791441,0.828931775973,-2.98935922287
0.681738,-1.00482853083,-0.0279887843754,1.197570266,1.25149554668,-0.760748988532,0.828947859654,-2.98821118991
0.691727,-1.0041096625,-0.0278258007411,1.19877292506,1.25176512817,-0.760294577274,0.829028806965,-2.98726883451
0.701717,-1.00323748498,-0.0274983976718,1.19968299032,1.25215098605,-0.759658840569,0.829230138224,-2.98658734404
0.711706,-1.00247121496,-0.0271503675095,1.20045543322,1.25257261652,-0.759002417976,0.829306300797,-2.98620505684
0.721695,-1.00160269574,-0.0270308484339,1.20146986805,1.25291908753,-0.758409216276,0.829274791198,-2.98589664691
0.731685,-1.00043205373,-0.0271893004189,1.20270942869,1.25325036733,-0.757892285913,0.829372417207,-2.98536274586
0.741674,-0.999308383165,-0.0272865320004,1.20384342063,1.25359534462,-0.757358922872,0.829684690662,-2.98477976314
0.751663,-0.998587567885,-0.0270242248895,1.20478945569,1.25396129148,-0.756742693103,0.830039062949,-2.98438796653
0.761653,-0.998046168599,-0.0266956983952,1.20573382038,1.25445670205,-0.756154381024,0.83024023131,-2.9838136472
0.771642,-0.99732674155,-0.0267459352905,1.20650055776,1.25497198419,-0.75529172226,0.830487402011,-2.98311642936
0.781631,-0.996556780539,-0.0269910932202,1.20742554738,1.25561574137,-0.75419339058,0.83075143789,-2.9825743671
0.791621,-0.995683112365,-0.026650326018,1.20830118148,1.25626939842,-0.753167840095,0.830725582341,-2.98210867752
0.801610,-0.994864692437,-0.0261648918326,1.20923374043,1.25691624291,-0.75231301132,0.83064240811,-2.98130587266
0.811599,-0.993693006603,-0.0258701461232,1.2096858351,1.25757855625,-0.751290387107,0.830428969981,-2.98021414148
0.821589,-0.992813995839,-0.0257772314865,1.21044031072,1.2583376744,-0.750536864908,0.830058340293,-2.97965817104
0.831578,-0.992390119672,-0.0255149907317,1.21175042693,1.25913381153,-0.750125851292,0.829646897217,-2.97946434465
0.841567,-0.991945688899,-0.0252455544126,1.21271218858,1.25982466202,-0.749539652366,0.829248149042,-2.97930589997
0.851557,-0.990901220735,-0.0250358038254,1.21352676708,1.26043546009,-0.748833466559,0.82894421784,-2.97909133261
0.861546,-0.989382180705,-0.0248173306198,1.21437343698,1.26094894627,-0.74839190297,0.828801796725,-2.97870577431
0.871535,-0.988046975888,-0.0245341754053,1.21518469121,1.26131072273,-0.748205698171,0.828816393016,-2.97807787244
0.881525,-0.987016501644,-0.0241803243818,1.21592747708,1.26158087537,-0.74794249382,0.828920635994,-2.97718546397
0.891514,-0.985997642476,-0.0238415600396,1.21654539375,1.26193282258,-0.747527776869,0.828986550635,-2.97635695912
0.901503,-0.985283137946,-0.0236387230352,1.21719255424,1.26246631907,-0.747123435016,0.828840941551,-2.9762568065
0.911493,-0.984722526105,-0.0234577258956,1.21826375383,1.2630393506,-0.746621639,0.828377977319,-2.97628141012
0.921482,-0.983897577729,-0.0233577729788,1.21909563036,1.26347044534,-0.746348588513,0.827538656897,-2.97564869516
0.931471,-0.982955975077,-0.0230762397881,1.21963904848,1.26397860605,-0.746028545855,0.826764892287,-2.97523928209
0.941461,-0.982089240659,-0.0227809981918,1.22023088513,1.26422132932,-0.745731517063,0.826339966616,-2.97502032896
0.951450,-0.981295679336,-0.0225125484376,1.22104015889,1.26413838274,-0.745284257802,0.82612749348,-2.97490978085
0.961439,-0.980399552673,-0.0222694633999,1.22196802506,1.26400391474,-0.744595561407,0.826260991689,-2.97451904008
0.971429,-0.979646220613,-0.0224141713753,1.22250148881,1.2640538185,-0.74403564189,0.82636827017,-2.97389552292
0.981418,-0.978844694691,-0.0225481221136,1.22202072661,1.26471228589,-0.743551788645,0.825787121104,-2.9733853231
0.991407,-0.97792737192,-0.0227492971344,1.22138072284,1.26592321194,-0.742999163455,0.824287399737,-2.97288471312
1.001397,-0.977087041217,-0.0231463054482,1.22137312559,1.26720537297,-0.742257752929,0.822149445187,-2.97245758599
1.011386,-0.976351188267,-0.0235640947686,1.22168021604,1.26849788304,-0.741624344747,0.820135608989,-2.97217684199
1.021375,-0.975680278281,-0.0237980027792,1.22182556004,1.26983380996,-0.741395774797,0.818900436023,-2.97180717416
1.031365,-0.975133116872,-0.0238787612039,1.22203975025,1.27083086216,-0.741460221104,0.818383357466,-2.97135487749
1.041354,-0.974579880199,-0.0239350097251,1.22260796238,1.2715234285,-0.741673428929,0.818178355338,-2.9712203085
1.051343,-0.973960184719,-0.0238869719013,1.2232883956,1.27248029208,-0.741571729535,0.818089656195,-2.97096972178
1.061333,-0.973039131143,-0.0235054008497,1.2234457449,1.27349561907,-0.741282771478,0.817332234905,-2.97094740657
1.071322,-0.972193655161,-0.023596870534,1.22387238999,1.27479561462,-0.741118491855,0.815698460696,-2.97130414837
1.081311,-0.97191902722,-0.0241369531178,1.22436027232,1.27648947025,-0.741002660788,0.81408895806,-2.9709827867
1.091301,-0.971630921246,-0.0242424760591,1.22439553598,1.27785791518,-0.740917012334,0.813205857322,-2.97043485365
1.101290,-0.97109743764,-0.0237625845903,1.22473137947,1.27926910919,-0.740478038066,0.812921191983,-2.96996717817
