time,left_s0,left_s1,left_e0,left_e1,left_w0,left_w1,left_w2,left_gripper,right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2,right_gripper
0.668977,-0.00153398078789,-0.555684540411,-0.0149563126819,0.764305927564,0.00997087512126,1.25517977969,-0.00766990393943,100.0,-1.62256817839,0.416859279108,1.13476228784,2.15639349257,-2.47661198204,-0.187145656122,-2.90996155462,96.0912017822
0.669091,-0.00153398078789,-0.555684540411,-0.0149563126819,0.764305927564,0.00997087512126,1.25517977969,-0.00766990393943,100.0,-1.62256817839,0.416859279108,1.13476228784,2.15639349257,-2.47661198204,-0.187145656122,-2.90996155462,96.0912017822
0.679265,-0.00191747598486,-0.555684540411,-0.0149563126819,0.765072917958,0.00997087512126,1.25441278929,-0.00651941834851,100.0,-1.62256817839,0.417242774305,1.13591277343,2.15447601659,-2.47584499165,-0.187529151319,-2.90957805942,96.0912017822
0.689153,-0.00153398078789,-0.554917550018,-0.0153398078789,0.765072917958,0.00958737992428,1.25479628449,-0.00690291354548,100.0,-1.62256817839,0.416859279108,1.13591277343,2.15562650218,-2.47622848684,-0.187529151319,-2.90996155462,96.0912017822
0.699394,-0.00230097118183,-0.555684540411,-0.0149563126819,0.764689422761,0.00997087512126,1.25441278929,-0.00728640874246,100.0,-1.62256817839,0.416859279108,1.13552927823,2.15639349257,-2.47507800125,-0.187529151319,-2.90996155462,96.0912017822
0.709325,-0.00153398078789,-0.555301045215,-0.0149563126819,0.764689422761,0.0103543703182,1.25517977969,-0.00728640874246,100.0,-1.62256817839,0.417242774305,1.13629626863,2.15485951178,-2.47584499165,-0.187529151319,-2.91034504982,96.0912017822
0.719148,-0.00191747598486,-0.555684540411,-0.0149563126819,0.765839908352,0.0103543703182,1.25479628449,-0.00766990393943,100.0,-1.62256817839,0.416859279108,1.13591277343,2.15485951178,-2.47584499165,-0.187529151319,-2.91034504982,96.0912017822
0.729165,-0.00153398078789,-0.556068035608,-0.0145728174849,0.764689422761,0.0107378655152,1.25517977969,-0.00651941834851,100.0,-1.62256817839,0.417242774305,1.13552927823,2.15562650218,-2.47661198204,-0.187145656122,-2.90957805942,96.0912017822
0.739146,-0.00230097118183,-0.555301045215,-0.0157233030758,0.764305927564,0.00958737992428,1.25441278929,-0.00690291354548,100.0,-1.62218468319,0.418009764699,1.13706325902,2.15600999737,-2.47661198204,-0.187912646516,-2.91072854501,96.0912017822
0.749145,-0.00191747598486,-0.554917550018,-0.0149563126819,0.765072917958,0.00997087512126,1.25479628449,-0.00690291354548,100.0,-1.62256817839,0.416859279108,1.13706325902,2.15600999737,-2.47661198204,-0.187529151319,-2.90919456422,96.0912017822
0.759144,-0.00230097118183,-0.555301045215,-0.0149563126819,0.764689422761,0.00958737992428,1.25556327488,-0.00728640874246,100.0,-1.62218468319,0.416859279108,1.13706325902,2.15485951178,-2.47622848684,-0.187912646516,-2.90957805942,96.0912017822
0.769169,-0.00230097118183,-0.555684540411,-0.0149563126819,0.763155441973,0.00958737992428,1.25556327488,-0.00690291354548,100.0,-1.62218468319,0.417242774305,1.13629626863,2.15562650218,-2.47622848684,-0.187529151319,-2.90919456422,96.0912017822
0.779186,-0.00230097118183,-0.555684540411,-0.0149563126819,0.763155441973,0.00958737992428,1.25556327488,-0.00690291354548,100.0,-1.62218468319,0.417242774305,1.13629626863,2.15562650218,-2.47622848684,-0.187529151319,-2.90919456422,96.0912017822
0.789152,-0.00191747598486,-0.555301045215,-0.0153398078789,0.765839908352,0.0103543703182,1.25479628449,-0.00728640874246,100.0,-1.62295167358,0.416859279108,1.13706325902,2.15447601659,-2.47699547724,-0.187529151319,-2.90996155462,96.0912017822
0.799140,-0.00191747598486,-0.555301045215,-0.0149563126819,0.763922432367,0.00920388472731,1.25479628449,-0.00690291354548,100.0,-1.62218468319,0.416859279108,1.13744675422,2.15562650218,-2.47622848684,-0.187529151319,-2.90881106903,96.0912017822
0.809139,-0.00153398078789,-0.554917550018,-0.0149563126819,0.764305927564,0.00997087512126,1.25479628449,-0.00651941834851,100.0,-1.62218468319,0.416475783911,1.13706325902,2.15485951178,-2.47584499165,-0.187529151319,-2.90996155462,96.0912017822
0.819136,-0.00153398078789,-0.556068035608,-0.0149563126819,0.765072917958,0.00997087512126,1.25479628449,-0.00728640874246,100.0,-1.62218468319,0.417626269502,1.13706325902,2.15485951178,-2.47546149645,-0.187529151319,-2.91034504982,96.0912017822
0.829161,-0.00191747598486,-0.555684540411,-0.0141893222879,0.765456413155,0.00997087512126,1.25479628449,-0.00728640874246,100.0,-1.62295167358,0.416475783911,1.13783024941,2.15600999737,-2.47584499165,-0.188296141713,-2.90957805942,96.0912017822
0.839133,-0.00115048559091,-0.555684540411,-0.0149563126819,0.765072917958,0.00958737992428,1.25479628449,-0.00728640874246,100.0,-1.62256817839,0.418009764699,1.13783024941,2.15639349257,-2.47584499165,-0.187912646516,-2.91034504982,96.0912017822
0.849138,-0.00230097118183,-0.555301045215,-0.0141893222879,0.765456413155,0.0107378655152,1.25556327488,-0.00728640874246,100.0,-1.62256817839,0.417242774305,1.13783024941,2.15409252139,-2.47546149645,-0.187912646516,-2.90996155462,96.0912017822
0.859138,-0.00230097118183,-0.555301045215,-0.0141893222879,0.765456413155,0.0107378655152,1.25556327488,-0.00728640874246,100.0,-1.62256817839,0.417242774305,1.13783024941,2.15409252139,-2.47546149645,-0.187912646516,-2.90996155462,96.0912017822
